dataset,test_size,accuracy_mean,accuracy_std,precision_mean,precision_std,recall_mean,recall_std,accuracy_remainder_mean,accuracy_remainder_std
cicddos2019,0.2,0.917,0.001,0.91,0.002,0.925,0.003,0.929,0.003
cicdos2017,0.2,0.716,0.003,0.638,0.003,1.0,0.0,0.429,0.0
cicids2017-botnet,0.2,0.974,0.006,0.959,0.014,0.991,0.004,0.961,0.003
cicids2017-bruteforce,0.2,0.996,0.0,0.993,0.001,1.0,0.0,0.993,0.0
cicids2017-ddos,0.2,0.955,0.001,0.917,0.002,1.0,0.0,1.0,0.0
cicids2017-dos,0.2,0.945,0.0,0.9,0.001,1.0,0.0,0.889,0.0
cicids2017-portscan,0.2,0.984,0.001,0.982,0.002,0.986,0.001,0.984,0.001
cicids2017-webattacks,0.2,0.95,0.009,0.909,0.017,1.0,0.0,0.889,0.0
cicids2017,0.2,0.918,0.0,0.866,0.001,0.991,0.0,0.846,0.0
csecicids2018-botnet,0.2,0.983,0.0,0.986,0.002,0.981,0.001,0.986,0.001
csecicids2018-bruteforce,0.2,1.0,0.0,0.999,0.0,1.0,0.0,0.999,0.0
csecicids2018-ddos1,0.2,0.91,0.001,0.847,0.001,1.0,0.0,1.0,0.0
csecicids2018-ddos2,0.2,0.998,0.0,0.996,0.0,1.0,0.0,0.996,0.0
csecicids2018-dos1,0.2,0.914,0.002,0.854,0.004,1.0,0.0,0.827,0.0
csecicids2018-dos2,0.2,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
csecicids2018-infiltration1,0.2,0.552,0.003,0.537,0.005,0.791,0.011,0.309,0.012
csecicids2018-infiltration2,0.2,0.637,0.003,0.808,0.006,0.362,0.006,0.915,0.004
csecicids2018-webattacks1,0.2,0.943,0.027,0.9,0.042,1.0,0.0,0.842,0.0
csecicids2018-webattacks2,0.2,0.907,0.016,0.843,0.023,0.996,0.005,0.828,0.002
csecicids2018,0.2,0.897,0.0,0.87,0.001,0.933,0.0,0.861,0.0
